schema,table,column,inferred_dtype
transportation,international_aviation_emissions_sources_ownership,company_id,bigint
manufacturing,steel_emissions_sources,modified_date,timestamp
mineral_extraction,bauxite_mining_country_emissions,created_date,timestamp
fossil_fuel_operations,oil_and_gas_refining_emissions_sources,source_id,bigint
agriculture,manure_management_cattle_feedlot_emissions_sources,lon,float4
forestry_and_land_use,water_reservoirs_emissions_sources,emissions_quantity,float4
mineral_extraction,copper_mining_country_emissions,created_date,timestamp
transportation,domestic_aviation_emissions_sources,end_time,timestamp
transportation,domestic_aviation_emissions_sources_ownership,created_date,timestamp
agriculture,manure_management_cattle_feedlot_emissions_sources_confidence,start_time,timestamp
forestry_and_land_use,net_forest_land_emissions_sources,end_time,timestamp
waste,solid_waste_disposal_emissions_sources_confidence,end_time,timestamp
forestry_and_land_use,water_reservoirs_emissions_sources_confidence,end_time,timestamp
power,electricity_generation_emissions_sources_ownership,company_id,bigint
transportation,railways_country_emissions,end_time,timestamp
forestry_and_land_use,wetland_fires_emissions_sources,modified_date,timestamp
mineral_extraction,iron_mining_emissions_sources_confidence,start_time,timestamp
fossil_fuel_operations,oil_and_gas_refining_emissions_sources,lat,float4
agriculture,synthetic_fertilizer_application_emissions_sources_confidence,modified_date,timestamp
agriculture,enteric_fermentation_cattle_pasture_country_emissions,emissions_quantity,float4
forestry_and_land_use,forest_land_clearing_country_emissions,emissions_quantity,float4
forestry_and_land_use,wetland_fires_emissions_sources_confidence,end_time,timestamp
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources,modified_date,timestamp
transportation,international_shipping_emissions_sources,modified_date,timestamp
forestry_and_land_use,forest_land_fires_emissions_sources,created_date,timestamp
waste,solid_waste_disposal_country_emissions,created_date,timestamp
manufacturing,other_manufacturing_country_emissions,start_time,timestamp
transportation,domestic_aviation_emissions_sources_ownership,end_date,timestamp
forestry_and_land_use,net_forest_land_emissions_sources,modified_date,timestamp
agriculture,cropland_fires_emissions_sources,modified_date,timestamp
manufacturing,steel_emissions_sources_confidence,start_time,timestamp
manufacturing,petrochemicals_country_emissions,emissions_quantity,float4
forestry_and_land_use,wetland_fires_emissions_sources,end_time,timestamp
forestry_and_land_use,net_shrubgrass_emissions_sources,emissions_quantity,float4
manufacturing,aluminum_emissions_sources,source_id,bigint
transportation,domestic_shipping_country_emissions,start_time,timestamp
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources,end_time,timestamp
buildings,other_onsite_fuel_usage_country_emissions,emissions_quantity,float4
agriculture,manure_left_on_pasture_cattle_country_emissions,modified_date,timestamp
manufacturing,pulp_and_paper_country_emissions,created_date,timestamp
manufacturing,steel_emissions_sources_ownership,source_id,bigint
transportation,international_shipping_country_emissions,created_date,timestamp
manufacturing,aluminum_emissions_sources_ownership,source_id,bigint
agriculture,cropland_fires_emissions_sources,created_date,timestamp
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources_ownershi,company_id,bigint
forestry_and_land_use,removals_emissions_sources,start_time,timestamp
agriculture,synthetic_fertilizer_application_emissions_sources,created_date,timestamp
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources_confiden,end_time,timestamp
manufacturing,steel_emissions_sources,end_time,timestamp
agriculture,enteric_fermentation_other_country_emissions,modified_date,timestamp
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources,emissions_quantity,float4
agriculture,rice_cultivation_emissions_sources,created_date,timestamp
agriculture,cropland_fires_emissions_sources,start_time,timestamp
transportation,domestic_shipping_emissions_sources_confidence,end_time,timestamp
power,electricity_generation_emissions_sources,created_date,timestamp
manufacturing,aluminum_emissions_sources,lat,float4
transportation,domestic_aviation_emissions_sources,modified_date,timestamp
forestry_and_land_use,forest_land_degradation_country_emissions,emissions_quantity,float4
agriculture,synthetic_fertilizer_application_emissions_sources,emissions_quantity,float4
transportation,international_aviation_emissions_sources_ownership,created_date,timestamp
forestry_and_land_use,net_forest_land_country_emissions,modified_date,timestamp
manufacturing,other_manufacturing_emissions_sources,emissions_quantity,float4
agriculture,rice_cultivation_emissions_sources,emissions_quantity,float4
waste,biological_treatment_of_solid_waste_and_biogenic_country_emissi,end_time,timestamp
manufacturing,cement_emissions_sources_ownership,modified_date,timestamp
manufacturing,petrochemicals_emissions_sources_confidence,created_date,timestamp
power,electricity_generation_emissions_sources,emissions_quantity,float4
mineral_extraction,iron_mining_emissions_sources_ownership,lon,float4
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources_ownershi,source_id,bigint
fossil_fuel_operations,oil_and_gas_production_and_transport_country_emissions,modified_date,timestamp
power,electricity_generation_emissions_sources_confidence,end_time,timestamp
forestry_and_land_use,net_forest_land_emissions_sources,lon,float4
manufacturing,aluminum_country_emissions,emissions_quantity,float4
manufacturing,cement_emissions_sources,source_id,bigint
agriculture,synthetic_fertilizer_application_country_emissions,emissions_quantity,float4
transportation,domestic_aviation_emissions_sources_ownership,company_id,bigint
transportation,domestic_aviation_country_emissions,modified_date,timestamp
fossil_fuel_operations,oil_and_gas_refining_emissions_sources,created_date,timestamp
transportation,domestic_aviation_emissions_sources_confidence,source_id,bigint
mineral_extraction,iron_mining_emissions_sources,start_time,timestamp
power,electricity_generation_emissions_sources_ownership,created_date,timestamp
buildings,residential_and_commercial_onsite_fuel_usage_country_emissions,start_time,timestamp
manufacturing,steel_emissions_sources_ownership,ultimate_parent_id,float8
mineral_extraction,copper_mining_emissions_sources_ownership,lon,float4
manufacturing,chemicals_country_emissions,emissions_quantity,float4
transportation,domestic_aviation_emissions_sources,lon,float4
forestry_and_land_use,net_shrubgrass_emissions_sources,created_date,timestamp
manufacturing,aluminum_emissions_sources_ownership,ultimate_parent_id,float8
manufacturing,cement_emissions_sources_ownership,percent_interest_parent,float4
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources_ownershi,percent_interest_parent,float4
manufacturing,cement_country_emissions,start_time,timestamp
fossil_fuel_operations,oil_and_gas_refining_emissions_sources_ownership,lon,float4
power,electricity_generation_emissions_sources_ownership_data_source,created_date,timestamp
forestry_and_land_use,net_forest_land_emissions_sources_confidence,start_time,timestamp
manufacturing,cement_emissions_sources,lat,float4
agriculture,manure_management_cattle_feedlot_emissions_sources,end_time,timestamp
transportation,international_aviation_emissions_sources,start_time,timestamp
power,other_energy_use_country_emissions,start_time,timestamp
forestry_and_land_use,net_wetland_country_emissions,modified_date,timestamp
fossil_fuel_operations,oil_and_gas_refining_country_emissions,emissions_quantity,float4
fossil_fuel_operations,coal_mining_emissions_sources_ownership,percent_interest_parent,float4
forestry_and_land_use,shrubgrass_fires_country_emissions,start_time,timestamp
manufacturing,steel_emissions_sources,lon,float4
fluorinated_gases,fluorinated_gases_country_emissions,start_time,timestamp
transportation,road_transportation_emissions_sources_confidence,start_time,timestamp
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources,end_time,timestamp
transportation,international_aviation_emissions_sources_ownership,end_date,timestamp
forestry_and_land_use,forest_land_fires_emissions_sources,emissions_quantity,float4
agriculture,cropland_fires_emissions_sources_confidence,created_date,timestamp
transportation,international_shipping_emissions_sources,emissions_quantity,float4
agriculture,manure_management_cattle_feedlot_emissions_sources,modified_date,timestamp
forestry_and_land_use,net_wetland_emissions_sources_confidence,start_time,timestamp
transportation,road_transportation_emissions_sources,emissions_factor,float8
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources,lon,float4
power,electricity_generation_country_emissions,created_date,timestamp
forestry_and_land_use,removals_country_emissions,created_date,timestamp
mineral_extraction,copper_mining_emissions_sources_confidence,end_time,timestamp
forestry_and_land_use,shrubgrass_fires_emissions_sources,emissions_factor,float8
mineral_extraction,bauxite_mining_emissions_sources_ownership,lat,float4
agriculture,enteric_fermentation_cattle_feedlot_country_emissions,created_date,timestamp
manufacturing,steel_country_emissions,end_time,timestamp
forestry_and_land_use,water_reservoirs_emissions_sources,created_date,timestamp
fossil_fuel_operations,coal_mining_emissions_sources_ownership,modified_date,timestamp
transportation,other_transport_country_emissions,emissions_quantity,float4
agriculture,enteric_fermentation_cattle_pasture_emissions_sources,start_time,timestamp
forestry_and_land_use,wetland_fires_emissions_sources,lon,float4
power,electricity_generation_emissions_sources_ownership,end_date,timestamp
mineral_extraction,bauxite_mining_emissions_sources_confidence,start_time,timestamp
mineral_extraction,iron_mining_emissions_sources_ownership,created_date,timestamp
forestry_and_land_use,wetland_fires_country_emissions,modified_date,timestamp
manufacturing,petrochemicals_emissions_sources_confidence,end_time,timestamp
waste,wastewater_treatment_and_discharge_emissions_sources,source_id,bigint
forestry_and_land_use,forest_land_clearing_country_emissions,start_time,timestamp
agriculture,enteric_fermentation_cattle_pasture_country_emissions,start_time,timestamp
power,electricity_generation_emissions_sources_confidence,created_date,timestamp
transportation,international_shipping_emissions_sources,end_time,timestamp
agriculture,other_agricultural_soil_emissions_country_emissions,created_date,timestamp
forestry_and_land_use,forest_land_fires_emissions_sources,end_time,timestamp
agriculture,rice_cultivation_emissions_sources_confidence,modified_date,timestamp
forestry_and_land_use,forest_land_clearing_emissions_sources,lat,float4
forestry_and_land_use,net_forest_land_emissions_sources,created_date,timestamp
transportation,international_aviation_emissions_sources_ownership,lon,float4
waste,wastewater_treatment_and_discharge_emissions_sources,lat,float4
power,electricity_generation_emissions_sources,modified_date,timestamp
manufacturing,steel_emissions_sources_confidence,source_id,bigint
forestry_and_land_use,net_shrubgrass_emissions_sources,lon,float4
transportation,domestic_aviation_emissions_sources,created_date,timestamp
forestry_and_land_use,forest_land_degradation_emissions_sources_confidence,modified_date,timestamp
fossil_fuel_operations,oil_and_gas_refining_emissions_sources_ownership,created_date,timestamp
forestry_and_land_use,forest_land_fires_country_emissions,end_time,timestamp
power,electricity_generation_emissions_sources_ownership,lon,float4
forestry_and_land_use,forest_land_clearing_emissions_sources,source_id,bigint
manufacturing,aluminum_emissions_sources_ownership,lat,float4
mineral_extraction,rock_quarrying_country_emissions,end_time,timestamp
agriculture,synthetic_fertilizer_application_emissions_sources,modified_date,timestamp
mineral_extraction,copper_mining_emissions_sources_ownership,created_date,timestamp
agriculture,rice_cultivation_emissions_sources,modified_date,timestamp
manufacturing,steel_emissions_sources_ownership,lat,float4
forestry_and_land_use,net_shrubgrass_country_emissions,end_time,timestamp
mineral_extraction,iron_mining_emissions_sources_confidence,source_id,bigint
power,electricity_generation_emissions_sources,end_time,timestamp
forestry_and_land_use,forest_land_degradation_country_emissions,start_time,timestamp
fossil_fuel_operations,coal_mining_emissions_sources,start_time,timestamp
forestry_and_land_use,net_wetland_emissions_sources,source_id,bigint
agriculture,manure_management_cattle_feedlot_emissions_sources_confidence,source_id,bigint
agriculture,cropland_fires_emissions_sources_confidence,end_time,timestamp
agriculture,manure_left_on_pasture_cattle_emissions_sources,lat,float4
mineral_extraction,copper_mining_emissions_sources,emissions_factor,float8
manufacturing,steel_emissions_sources,created_date,timestamp
agriculture,synthetic_fertilizer_application_emissions_sources,end_time,timestamp
agriculture,rice_cultivation_emissions_sources,end_time,timestamp
manufacturing,other_manufacturing_emissions_sources,end_time,timestamp
manufacturing,petrochemicals_emissions_sources,lat,float4
mineral_extraction,iron_mining_emissions_sources_ownership,end_date,timestamp
agriculture,manure_management_cattle_feedlot_country_emissions,created_date,timestamp
buildings,other_onsite_fuel_usage_country_emissions,start_time,timestamp
transportation,domestic_shipping_country_emissions,emissions_quantity,float4
transportation,domestic_shipping_emissions_sources,emissions_factor,float8
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources,created_date,timestamp
agriculture,manure_management_cattle_feedlot_emissions_sources,emissions_quantity,float4
mineral_extraction,copper_mining_emissions_sources_ownership,end_date,timestamp
forestry_and_land_use,net_wetland_emissions_sources,lat,float4
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources,created_date,timestamp
mineral_extraction,sand_quarrying_country_emissions,modified_date,timestamp
mineral_extraction,bauxite_mining_emissions_sources_ownership,ultimate_parent_id,float8
forestry_and_land_use,forest_land_fires_emissions_sources,modified_date,timestamp
agriculture,manure_left_on_pasture_cattle_emissions_sources,source_id,bigint
fossil_fuel_operations,oil_and_gas_refining_emissions_sources_ownership,end_date,timestamp
manufacturing,other_manufacturing_country_emissions,emissions_quantity,float4
forestry_and_land_use,water_reservoirs_emissions_sources,lon,float4
manufacturing,petrochemicals_country_emissions,start_time,timestamp
manufacturing,petrochemicals_emissions_sources,source_id,bigint
mineral_extraction,copper_mining_emissions_sources_confidence,created_date,timestamp
forestry_and_land_use,wetland_fires_emissions_sources,created_date,timestamp
forestry_and_land_use,forest_land_clearing_emissions_sources_confidence,modified_date,timestamp
agriculture,manure_management_other_country_emissions,modified_date,timestamp
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources,emissions_quantity,float4
forestry_and_land_use,forest_land_degradation_emissions_sources,lat,float4
mineral_extraction,iron_mining_country_emissions,modified_date,timestamp
mineral_extraction,iron_mining_emissions_sources_ownership,company_id,bigint
forestry_and_land_use,water_reservoirs_country_emissions,created_date,timestamp
transportation,domestic_aviation_emissions_sources_ownership,lon,float4
forestry_and_land_use,net_wetland_emissions_sources_confidence,source_id,bigint
mineral_extraction,bauxite_mining_emissions_sources,start_time,timestamp
manufacturing,cement_country_emissions,emissions_quantity,float4
agriculture,manure_management_cattle_feedlot_emissions_sources,created_date,timestamp
fossil_fuel_operations,solid_fuel_transformation_country_emissions,end_time,timestamp
mineral_extraction,bauxite_mining_emissions_sources_confidence,source_id,bigint
buildings,residential_and_commercial_onsite_fuel_usage_country_emissions,emissions_quantity,float4
forestry_and_land_use,net_shrubgrass_emissions_sources,end_time,timestamp
transportation,road_transportation_country_emissions,modified_date,timestamp
forestry_and_land_use,wetland_fires_emissions_sources,emissions_quantity,float4
manufacturing,chemicals_country_emissions,start_time,timestamp
mineral_extraction,bauxite_mining_emissions_sources_ownership,source_id,bigint
manufacturing,aluminum_country_emissions,start_time,timestamp
forestry_and_land_use,forest_land_degradation_emissions_sources,source_id,bigint
forestry_and_land_use,wetland_fires_emissions_sources_confidence,created_date,timestamp
forestry_and_land_use,water_reservoirs_emissions_sources,modified_date,timestamp
forestry_and_land_use,forest_land_fires_emissions_sources_confidence,modified_date,timestamp
agriculture,synthetic_fertilizer_application_country_emissions,start_time,timestamp
fossil_fuel_operations,oil_and_gas_refining_emissions_sources_ownership,company_id,bigint
manufacturing,steel_emissions_sources,emissions_quantity,float4
fossil_fuel_operations,coal_mining_emissions_sources_ownership,percent_interest_company,float4
mineral_extraction,copper_mining_emissions_sources_ownership,company_id,bigint
waste,solid_waste_disposal_emissions_sources_confidence,created_date,timestamp
forestry_and_land_use,water_reservoirs_emissions_sources_confidence,created_date,timestamp
manufacturing,cement_emissions_sources_ownership,start_date,timestamp
transportation,international_shipping_emissions_sources,lon,float4
transportation,road_transportation_emissions_sources_confidence,source_id,bigint
forestry_and_land_use,forest_land_fires_emissions_sources,lon,float4
forestry_and_land_use,water_reservoirs_emissions_sources,end_time,timestamp
agriculture,cropland_fires_country_emissions,created_date,timestamp
transportation,domestic_aviation_emissions_sources_confidence,start_time,timestamp
transportation,domestic_aviation_emissions_sources,emissions_quantity,float4
transportation,other_transport_country_emissions,start_time,timestamp
fossil_fuel_operations,coal_mining_emissions_sources_ownership,start_date,timestamp
forestry_and_land_use,net_forest_land_emissions_sources_confidence,source_id,bigint
waste,solid_waste_disposal_emissions_sources,start_time,timestamp
manufacturing,cement_emissions_sources_ownership,percent_interest_company,float4
agriculture,rice_cultivation_country_emissions,end_time,timestamp
fluorinated_gases,fluorinated_gases_country_emissions,emissions_quantity,float4
transportation,international_aviation_country_emissions,modified_date,timestamp
forestry_and_land_use,shrubgrass_fires_country_emissions,emissions_quantity,float4
transportation,domestic_shipping_emissions_sources_confidence,created_date,timestamp
agriculture,synthetic_fertilizer_application_emissions_sources,lon,float4
fossil_fuel_operations,coal_mining_country_emissions,modified_date,timestamp
agriculture,rice_cultivation_emissions_sources,lon,float4
manufacturing,other_manufacturing_emissions_sources,lon,float4
waste,incineration_and_open_burning_of_waste_country_emissions,end_time,timestamp
forestry_and_land_use,net_forest_land_emissions_sources,emissions_quantity,float4
fossil_fuel_operations,oil_and_gas_refining_country_emissions,start_time,timestamp
power,other_energy_use_country_emissions,emissions_quantity,float4
power,electricity_generation_emissions_sources,lon,float4
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources_confiden,created_date,timestamp
fossil_fuel_operations,other_fossil_fuel_operations_country_emissions,modified_date,timestamp
forestry_and_land_use,net_shrubgrass_emissions_sources,modified_date,timestamp
forestry_and_land_use,forest_land_clearing_emissions_sources,modified_date,timestamp
manufacturing,aluminum_emissions_sources_confidence,start_time,timestamp
agriculture,synthetic_fertilizer_application_emissions_sources,source_id,bigint
fossil_fuel_operations,coal_mining_emissions_sources_confidence,start_time,timestamp
agriculture,rice_cultivation_emissions_sources,source_id,bigint
manufacturing,other_manufacturing_emissions_sources,source_id,bigint
fossil_fuel_operations,oil_and_gas_refining_emissions_sources_ownership,percent_interest_company,float4
fossil_fuel_operations,coal_mining_emissions_sources_ownership,company_id,bigint
mineral_extraction,copper_mining_emissions_sources_ownership,percent_interest_company,float4
forestry_and_land_use,wetland_fires_country_emissions,created_date,timestamp
power,electricity_generation_emissions_sources,source_id,bigint
transportation,international_aviation_emissions_sources,emissions_factor,float8
waste,biological_treatment_of_solid_waste_and_biogenic_country_emissi,start_time,timestamp
agriculture,other_agricultural_soil_emissions_country_emissions,modified_date,timestamp
forestry_and_land_use,net_wetland_emissions_sources,end_time,timestamp
manufacturing,cement_emissions_sources,emissions_quantity,float4
manufacturing,cement_emissions_sources_confidence,start_time,timestamp
agriculture,synthetic_fertilizer_application_emissions_sources,lat,float4
mineral_extraction,iron_mining_emissions_sources_ownership,percent_interest_company,float4
agriculture,manure_left_on_pasture_cattle_emissions_sources,end_time,timestamp
transportation,international_aviation_emissions_sources_confidence,start_time,timestamp
manufacturing,other_manufacturing_emissions_sources,lat,float4
manufacturing,petrochemicals_emissions_sources,end_time,timestamp
agriculture,enteric_fermentation_cattle_pasture_emissions_sources,emissions_factor,float8
manufacturing,cement_country_emissions,end_time,timestamp
power,electricity_generation_emissions_sources_ownership_data_source,modified_date,timestamp
agriculture,rice_cultivation_emissions_sources,lat,float4
fossil_fuel_operations,solid_fuel_transformation_country_emissions,emissions_quantity,float4
power,electricity_generation_emissions_sources,lat,float4
waste,wastewater_treatment_and_discharge_emissions_sources,modified_date,timestamp
manufacturing,aluminum_emissions_sources,created_date,timestamp
transportation,road_transportation_emissions_sources,start_time,timestamp
buildings,residential_and_commercial_onsite_fuel_usage_country_emissions,end_time,timestamp
forestry_and_land_use,shrubgrass_fires_emissions_sources,start_time,timestamp
fluorinated_gases,fluorinated_gases_country_emissions,end_time,timestamp
forestry_and_land_use,forest_land_degradation_emissions_sources,lon,float4
forestry_and_land_use,shrubgrass_fires_country_emissions,end_time,timestamp
manufacturing,steel_emissions_sources_ownership_data_source,reference_id,int
mineral_extraction,iron_mining_emissions_sources_ownership,start_date,timestamp
agriculture,manure_left_on_pasture_cattle_emissions_sources,modified_date,timestamp
transportation,domestic_aviation_emissions_sources_ownership,percent_interest_parent,float4
manufacturing,petrochemicals_emissions_sources,modified_date,timestamp
